Neighbourhood Name,"Less than $30,000","$30,000 to less than $60,000","$60,000 to less than $100,000","$100,000 to less than $125,000","$125,000 to less than $150,000","$150,000 to less than $200,000","$200,000 to less than $250,000",Borough,
CRESTWOOD,56,91,90,52,26,58,36,West,
PARKVIEW,51,116,149,93,65,94,60,West,
JAMIESON PLACE,26,71,103,78,64,65,17,West,
RUTHERFORD,130,368,621,334,255,273,99,South West,
CRYSTALLINA NERA EAST,0,0,0,0,0,0,0,North East,
MEYONOHK,47,138,156,62,23,28,8,South East,
WESTVIEW VILLAGE,85,121,114,16,17,5,0,West,
CHAPPELLE AREA,22,101,266,166,104,108,32,South West,
MENISA,235,186,175,80,51,40,13,South East,
MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,North West,
LEWIS FARMS INDUSTRIAL,1,1,2,0,0,0,1,West,
ANTHONY HENDAY ENERGY PARK,0,0,0,0,0,0,0,North East,
WINDERMERE AREA,0,0,0,0,0,0,0,South West,
RIVER VALLEY LAURIER,0,0,0,0,0,0,0,North,
HOMESTEADER,126,242,222,81,45,24,14,North East,
LYNNWOOD,70,159,161,58,45,45,15,West,
BATURYN,33,138,202,101,46,26,7,North,
MCCONACHIE AREA,53,180,325,243,148,145,39,North East,
KENILWORTH,84,226,226,64,43,41,15,South East,
MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,North,
ALLARD,4,48,165,109,48,69,32,South West,
WEST JASPER PLACE,169,309,83,27,22,14,7,West,
CANOSSA,21,92,190,107,91,88,31,North,
RICHFIELD,72,82,100,30,24,12,3,South East,
ARGYLL,18,25,33,17,22,10,3,South East,
CUMBERLAND,40,128,253,201,167,127,39,North West,
EDMONTON NORTHLANDS,0,0,0,0,0,0,0,North,
GARNEAU,1044,523,423,132,78,89,33,South West,
ROSENTHAL,7,31,91,48,24,36,5,West,
MCLEOD,85,155,143,70,42,39,6,North,
MCQUEEN,85,87,83,42,22,26,12,West,
INDUSTRIAL HEIGHTS,0,0,0,0,0,0,0,North,
TWIN BROOKS,73,198,316,201,151,200,91,South West,
FRASER,84,157,190,104,53,49,16,North East,
LARKSPUR,80,253,339,186,94,105,40,South East,
DALY GROVE,76,169,189,99,51,35,10,South East,
BALWIN,321,282,175,53,35,12,8,North East,
ANTHONY HENDAY,0,0,0,0,0,0,0,North,
MCKERNAN,114,106,106,75,92,123,107,Central,
STRATHCONA JUNCTION,0,0,0,0,0,0,0,Central,
HENDERSON ESTATES,14,34,61,48,50,50,34,South West,
LAUREL,27,189,296,139,63,41,14,South East,
POUNDMAKER INDUSTRIAL,0,0,0,0,0,0,0,West,
WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,0,0,West,
CHAMBERY,2,31,73,57,42,54,29,North West,
BLUE QUILL,142,362,218,72,30,40,25,South West,
BLACKBURNE,24,83,87,65,34,55,20,South West,
ROPER INDUSTRIAL,0,0,0,0,0,0,0,South East,
CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,South East,
STARLING,1,94,120,7,5,15,4,North West,
WEINLOS,28,100,102,42,17,26,6,South East,
THE HAMPTONS,67,327,695,491,287,309,126,West,
RIVERVIEW AREA,0,6,17,10,10,7,15,West,
LAURIER HEIGHTS,35,103,113,88,66,88,62,West,
ANTHONY HENDAY HORSE HILL,0,0,0,0,0,0,0,North East,
CALGARY TRAIL NORTH,0,0,0,0,0,0,0,Central,
STEINHAUER,35,81,95,60,38,33,16,South West,
MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,South East,
WEIR INDUSTRIAL,0,0,0,0,0,0,0,North East,
HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,West,
RIVER VALLEY OLESKIW,0,0,0,0,0,0,0,South West,
DECHENE,7,44,76,47,36,33,23,West,
SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,West,
MEADOWS AREA,0,0,0,0,0,0,0,South East,
BANNERMAN,172,239,280,111,43,41,9,North East,
WILSON INDUSTRIAL,0,0,0,0,0,0,0,North West,
ASPEN GARDENS,32,69,100,44,45,63,28,South West,
MAYLIEWAN,43,90,100,98,63,57,34,North East,
BELVEDERE,343,326,239,74,38,20,10,North,
WEST SHEFFIELD INDUSTRIAL,0,0,0,0,0,0,0,West,
SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,South East,
CENTRAL MCDOUGALL,610,435,172,32,17,7,2,Central,
SUDER GREENS,31,137,201,122,80,82,38,West,
PATRICIA HEIGHTS,15,47,65,34,23,36,17,West,
GRANDVIEW HEIGHTS,9,17,20,28,22,24,25,South West,
ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,South West,
GRIESBACH,39,116,167,72,66,77,48,North West,
WINTERBURN INDUSTRIAL AREA WEST,0,0,0,0,0,0,0,North West,
DONSDALE,6,19,34,18,27,44,21,West,
MAPLE,6,41,77,37,13,22,10,South East,
MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,South East,
AVONMORE,98,148,109,50,27,36,16,South East,
RHATIGAN RIDGE,22,42,114,62,50,75,54,South West,
YELLOWHEAD CORRIDOR EAST,0,0,0,0,0,0,0,North,
EVERGREEN,60,87,55,26,14,3,2,North East,
BEVERLY HEIGHTS,265,329,130,43,17,18,5,North East,
BELLE RIVE,62,174,203,87,51,62,20,North East,
CROMDALE,168,133,74,21,11,9,11,North East,
PEMBINA,7,15,41,37,7,3,1,North West,
MILL WOODS TOWN CENTRE,180,185,65,17,8,0,0,South East,
ANTHONY HENDAY LAKE DISTRICT,0,0,0,0,0,0,0,North,
HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,North West,
VIRGINIA PARK,204,26,22,10,5,10,3,North East,
CY BECKER,0,2,17,9,13,5,0,North East,
GLASTONBURY,62,221,404,212,156,134,66,West,
KERNOHAN,57,152,173,78,44,38,9,North East,
BEAUMARIS,114,209,182,72,48,47,20,North West,
DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,South East,
KILDARE,138,248,161,40,21,15,3,North East,
SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,South East,
SIFTON PARK,40,33,54,12,9,7,2,North East,
WALKER,88,503,547,235,121,115,37,South East,
SHERWOOD,42,96,90,41,32,22,3,West,
RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,Central,
GOODRIDGE CORNERS,0,0,0,0,0,0,0,Central,
ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,South East,
DOWNTOWN,972,994,1093,425,199,198,68,Central,
WESTRIDGE,6,10,40,35,23,33,30,West,
WELLINGTON,101,181,197,51,31,23,4,North West,
ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,Central,
ELLERSLIE,41,148,290,138,71,56,19,SouthEast,
JACKSON HEIGHTS,41,120,158,78,56,41,9,South East,
FULTON PLACE,56,95,111,66,38,47,17,South East,
KINOKAMAU PLAINS AREA,0,9,35,1,0,0,1,North West,
WEBBER GREENS,11,26,71,41,44,42,11,West,
NORTHMOUNT,65,125,129,57,24,25,7,North West,
DUNLUCE,203,317,312,122,69,60,10,North West,
SPRUCE AVENUE,92,98,62,21,14,14,5,Central,
ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,South West,
BLACKMUD CREEK RAVINE,0,0,0,0,0,0,0,South West,
WESTBROOK ESTATES,17,31,32,12,11,16,18,South West,
GARSIDE INDUSTRIAL,0,0,0,0,0,0,0,West,
GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,North West,
DELWOOD,113,194,146,71,35,40,10,North East,
LA PERLE,229,293,282,129,76,64,23,West,
CAMERON HEIGHTS,2,10,22,26,31,36,23,West,
DUGGAN,188,283,283,164,92,74,29,South West,
ELSINORE,17,55,98,40,48,39,10,North West,
DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,South East,
GRANVILLE,7,28,77,74,63,58,18,West,
PLACE LARUE,0,0,0,0,0,0,0,West,
MORRIS INDUSTRIAL,0,0,0,0,0,0,0,North East,
RURAL NORTH EAST HORSE HILL,4,4,3,1,1,2,1,North East,
THE ORCHARDS AT ELLERSLIE,6,53,158,89,73,55,23,South East,
ELMWOOD,112,260,228,80,33,22,4,West,
CAERNARVON,82,208,210,75,40,23,7,North West,
ARMSTRONG INDUSTRIAL,0,0,0,0,0,0,0,North West,
CARLISLE,133,270,250,87,59,36,9,North West,
NORWESTER INDUSTRIAL,0,0,0,0,0,0,0,West,
MATT BERRY,32,141,237,168,69,84,25,North East,
EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,South East,
RIVER VALLEY CAPITOL HILL,0,0,0,0,0,0,0,Central,
KENSINGTON,119,162,148,51,28,19,7,North West,
BRECKENRIDGE GREENS,25,93,179,92,58,70,23,West,
GARIEPY,14,185,74,33,20,28,16,West,
RIVER VALLEY RUNDLE,0,0,0,0,0,0,0,North East,
UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,Central,
MAGRATH HEIGHTS,28,54,95,75,68,74,56,South West,
ANTHONY HENDAY CLAREVIEW,0,0,0,0,0,0,0,North East,
ALLENDALE,66,112,123,59,30,33,11,Central,
LANSDOWNE,27,52,66,28,19,37,21,South West,
YOUNGSTOWN INDUSTRIAL,0,0,0,0,0,0,0,West,
CRYSTALLINA NERA WEST,3,35,79,51,38,20,10,North East,
BEARSPAW,56,103,127,72,46,63,25,South West,
LAUDERDALE,88,137,100,40,21,18,3,North West,
HILLVIEW,106,199,211,98,49,42,22,South East,
HODGSON,48,92,155,91,43,86,45,South West,
ANTHONY HENDAY RAMPART,0,0,0,0,0,0,0,North West,
QUESNELL HEIGHTS,0,1,9,2,8,10,5,West,
OGILVIE RIDGE,2,12,20,19,15,16,23,South West,
EBBERS,0,4,4,2,0,1,0,North East,
MORIN INDUSTRIAL,0,0,0,0,0,0,0,West,
RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,Central,
CAPILANO,40,115,126,84,65,65,28,South East,
GROVENOR,69,127,140,70,57,46,28,North West,
SUMMERLEA,94,194,157,42,36,23,12,West,
OLIVER,1413,1611,1505,537,277,231,91,Central,
STRATHEARN,250,153,96,54,34,36,16,South East,
POTTER GREENS,9,51,73,43,46,53,26,West,
MACTAGGART,26,69,84,46,48,68,34,South West,
CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,North West,
GORMAN,0,0,0,0,0,0,0,North East,
BERGMAN,39,86,69,39,26,22,11,North East,
TERRA LOSA,158,265,198,62,23,22,7,West,
HAZELDEAN,83,202,203,96,81,60,12,Central,
PARKDALE,253,209,192,48,17,6,3,Central,
GOLD BAR,83,138,213,94,55,43,23,South East,
ALDERGROVE,119,266,284,135,72,49,22,West,
THORNCLIFF,45,96,84,32,27,14,6,West,
TWEDDLE PLACE,43,98,93,40,29,24,4,South East,
KILLARNEY,179,284,216,64,29,11,4,North East,
HOLLICK-KENYON,81,255,384,233,125,145,54,North East,
WINDERMERE,37,144,271,137,151,150,74,South West,
MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,Central,
CLAREVIEW TOWN CENTRE,99,161,190,92,31,24,7,North East,
KESWICK AREA,2,13,33,24,31,34,20,South West,
BELGRAVIA,96,74,113,58,59,47,63,Central,
WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,South West,
SAKAW,317,244,242,81,38,44,15,South East,
GLENRIDDING AREA,6,20,70,38,21,26,8,South West,
BELMEAD,131,231,201,102,65,52,25,West,
SATOO,73,160,228,100,70,39,13,South East,
HAWKS RIDGE,7,76,27,11,15,14,3,West,
CANORA,120,151,97,32,21,7,3,West,
POLLARD MEADOWS,134,269,202,75,30,21,5,South East,
QUEEN MARY PARK,587,488,294,92,55,43,10,Central,
STEWART GREENS,0,2,11,7,11,7,2,North West,
ALBANY,10,56,63,30,9,14,13,North West,
CASHMAN,0,0,0,0,0,0,0,South,
FALCONER HEIGHTS,39,79,88,53,52,53,29,South West,
EDMONTON MUNICIPAL AIRPORT,0,0,0,0,0,0,0,West,
YELLOWHEAD CORRIDOR WEST,0,0,0,0,0,0,0,West,
GREENFIELD,57,146,214,125,80,78,44,South West,
CLOVER BAR AREA,0,0,0,0,0,0,0,North East,
MCARTHUR INDUSTRIAL,0,0,0,0,0,0,0,North West,
LAMBTON INDUSTRIAL,0,0,0,0,0,0,0,East,
CALDER,239,221,190,70,43,19,7,West,
EDGEMONT,4,31,71,48,32,47,23,South West,
WEST MEADOWLARK PARK,60,116,99,44,25,13,3,West,
RIVER VALLEY HIGHLANDS,0,0,0,0,0,0,0,North East,
ABBOTTSFIELD,206,170,79,23,4,3,3,North East,
EASTGATE BUSINESS PARK,0,0,0,0,0,0,0,North East,
CARTER CREST,5,30,54,36,30,43,26,South West,
EMPIRE PARK,128,385,345,79,19,10,3,South West,
SWEET GRASS,42,182,212,58,31,34,10,South West,
KENNEDALE INDUSTRIAL,0,0,0,0,0,0,0,North,
RURAL NORTH EAST SOUTH STURGEON,4,9,11,19,22,21,14,North East,
RITCHIE,208,346,378,170,120,88,41,Central,
CALLINGWOOD SOUTH,265,439,344,89,29,16,7,South West,
RIVER VALLEY VICTORIA,0,0,0,0,0,0,0,Central,
PARSONS INDUSTRIAL,0,0,0,0,0,0,0,South East,
BULYEA HEIGHTS,17,39,81,47,35,57,43,South West,
MICHAELS PARK,38,77,95,35,23,18,7,South East,
RIVER VALLEY FORT EDMONTON,0,0,0,0,0,0,0,South West,
BLACKMUD CREEK,35,92,159,109,82,118,50,South West,
KAMEYOSEK,237,233,123,39,16,17,3,South East,
MEADOWLARK PARK,124,315,197,114,46,47,10,West,
HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,North West,
TRUMPETER AREA,2,20,85,47,47,65,32,North West,
GREENVIEW,74,147,159,89,43,50,20,South East,
SECORD,9,357,128,96,59,90,24,West,
BELMONT,132,263,231,125,68,51,7,North East,
STONE INDUSTRIAL,0,0,0,0,0,0,0,West,
RAPPERSWILL,3,46,127,73,64,50,14,North West,
WESTMOUNT,233,378,388,172,132,126,84,North West,
EDMONTON ENERGY AND TECHNOLOGY PARK,1,1,2,2,0,1,0,North East,
HAIRSINE,109,197,141,57,30,22,5,North East,
OVERLANDERS,129,207,192,60,38,20,3,North East,
CANON RIDGE,27,125,139,109,72,31,9,North East,
ROSSLYN,251,185,185,99,42,10,6,North West,
SUMMERSIDE,82,332,735,498,355,393,133,South East,
MAYFIELD,46,110,90,39,27,16,10,West,
OZERNA,59,129,166,78,67,65,23,North East,
OLESKIW,9,28,63,57,50,60,42,West,
LEGER,14,43,73,52,29,49,33,South West,
PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,South East,
ANTHONY HENDAY BIG LAKE,0,0,0,0,0,0,0,West,
RURAL WEST BIG LAKE,0,13,19,0,0,0,1,North West,
RIVER VALLEY LESSARD NORTH,0,0,0,0,0,0,0,South West,
MALMO PLAINS,58,178,163,63,42,46,20,South West,
CALLINGWOOD NORTH,126,247,207,50,14,8,5,South West,
PARKALLEN,52,127,147,73,52,47,28,Central,
RIVER VALLEY HERMITAGE,0,0,0,0,0,0,0,North East,
CRAWFORD PLAINS,58,174,282,127,87,56,18,South East,
ALBERTA AVENUE,601,667,364,139,62,61,11,Central,
BONNIE DOON,256,228,225,115,74,79,40,Central,
INGLEWOOD,521,536,305,178,188,180,97,North West,
WHITE INDUSTRIAL,0,0,0,0,0,0,0,North West,
STRATHCONA,488,651,664,290,149,147,76,Central,
WHITEMUD CREEK RAVINE TWIN BROOKS,0,0,0,0,0,0,0,South West,
SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,West,
FOREST HEIGHTS,199,240,262,102,61,89,37,South East,
HIGH PARK,42,61,50,34,13,7,3,North West,
SHERBROOKE,61,106,116,52,28,23,6,North West,
ANTHONY HENDAY CASTLEDOWNS,0,0,0,0,0,0,0,North,
MCCAULEY,530,214,135,30,14,13,8,Central,
RIVER VALLEY RIVERSIDE,0,0,0,0,0,0,0,Central,
TIPASKAN,163,204,184,54,43,18,9,South East,
DELTON,145,155,149,42,26,23,6,Central,
RAMPART INDUSTRIAL,0,0,0,0,0,0,0,North West,
DOMINION INDUSTRIAL,0,0,0,0,0,0,0,North West,
BRINTNELL,22,60,148,98,63,81,34,North East,
MILLER,53,262,192,51,48,22,10,North East,
RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,North East,
BISSET,74,189,183,62,42,27,5,South East,
CAVANAGH,0,0,0,0,0,0,0,South West,
SILVER BERRY,40,163,277,202,92,61,19,South East,
RIVER VALLEY TERWILLEGAR,0,0,0,0,0,0,0,South West,
GLENWOOD,404,435,251,83,34,26,6,West,
PLEASANTVIEW,348,332,261,83,46,45,21,South West,
HERITAGE VALLEY AREA,0,0,0,0,0,0,0,South West,
GLENORA,51,85,124,64,55,75,45,North West,
HADDOW,49,97,171,129,93,146,72,South West,
KING EDWARD PARK,133,239,282,104,87,67,26,Central,
CORONET INDUSTRIAL,0,0,0,0,0,0,0,South East,
SOUTH TERWILLEGAR,95,262,475,249,196,187,71,South West,
SKYRATTLER,94,222,232,73,32,34,12,South West,
DESROCHERS AREA,0,0,0,0,0,0,0,South,
NEWTON,137,191,162,59,41,23,4,North East,
OXFORD,24,116,230,138,95,91,24,North West,
EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,North West,
CALGARY TRAIL SOUTH,0,0,0,0,0,0,0,South East,
KIRKNESS,94,179,186,78,46,44,15,North East,
MACEWAN,69,274,360,187,128,104,37,South West,
KEHEEWIN,68,144,138,70,33,38,14,South West,
RURAL SOUTH EAST,7,8,11,4,4,5,1,South East,
ANTHONY HENDAY MISTATIM,0,0,0,0,0,0,0,North West,
MAPLE RIDGE INDUSTRIAL,0,0,2,0,0,0,0,South East,
CARLTON,37,147,262,149,103,98,35,North West,
BELLEVUE,39,58,68,41,24,16,11,North East,
NORTH GLENORA,66,105,143,65,56,58,16,North West,
RICHFORD,13,50,55,27,15,17,16,South West,
BRANDER GARDENS,115,129,132,49,46,42,16,South West,
JASPER PARK,104,127,118,27,25,12,6,West,
BARANOW,144,143,94,18,11,5,2,North West,
TERWILLEGAR TOWNE,52,147,265,175,135,154,73,South West,
BROWN INDUSTRIAL,0,0,0,0,0,0,0,North West,
LENDRUM PLACE,19,34,63,45,33,38,15,South West,
BONAVENTURE INDUSTRIAL,0,0,0,0,0,0,0,North West,
RIO TERRACE,11,44,48,32,22,47,19,West,
MEYOKUMIN,63,171,168,79,38,31,7,South East,
CHARLESWORTH,51,188,340,179,108,107,38,South East,
WOODCROFT,214,121,107,32,24,29,6,North West,
OTTEWELL,200,314,361,181,135,132,45,South East,
ROSSDALE,29,58,62,26,24,25,17,Central,
HUFF BREMNER ESTATE INDUSTRIAL,0,0,0,0,0,0,0,West,
EVANSDALE,298,460,223,75,44,26,11,North West,
WILD ROSE,32,198,273,125,100,96,34,South East,
CASSELMAN,175,283,265,93,55,33,14,North East,
RIDEAU PARK,152,173,128,39,28,23,15,South West,
WEDGEWOOD HEIGHTS,8,27,38,29,30,44,23,West,
BOYLE STREET,826,487,303,87,41,32,10,Central,
MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,Central,
KILKENNY,208,321,250,110,72,40,20,North East,
RUNDLE HEIGHTS,129,433,206,34,23,14,2,North East,
QUEEN ALEXANDRA,365,465,427,175,85,72,21,Central,
STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,South East,
PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,South East,
LEE RIDGE,95,110,94,29,11,19,2,South East,
CLOVERDALE,15,25,47,38,36,35,23,South East,
KLARVATTEN,40,123,259,198,171,139,51,North East,
HERITAGE VALLEY TOWN CENTRE AREA,12,72,75,31,6,10,2,South West,
TERRACE HEIGHTS,111,118,99,42,32,40,15,South East,
ATHLONE,101,170,203,81,55,46,7,North West,
HOLYROOD,63,140,161,71,83,62,27,South East,
BLUE QUILL ESTATES,34,83,73,50,36,23,9,South West,
ORMSBY PLACE,107,216,246,117,96,97,41,South West,
GAINER INDUSTRIAL,9,29,58,24,9,8,1,South East,
KINISKI GARDENS,72,238,424,209,121,101,42,South East,
EASTWOOD,341,306,173,42,12,12,4,Central,
ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,South East,
GRAYDON HILL,1,3,5,2,4,4,2,South West,
YORK,148,297,271,103,65,42,14,North East,
SCHONSEE,91,114,179,96,56,79,31,North East,
RIVERDALE,57,113,141,79,56,57,47,Central,
UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,Central,
DOVERCOURT,61,160,159,87,45,48,15,North West,
MINCHAU,19,59,79,42,27,21,4,South East,
WESTWOOD,381,321,124,36,22,14,2,Central,
MILL WOODS PARK,0,0,0,0,0,0,0,South,
ALBERTA PARK INDUSTRIAL,0,0,0,0,0,0,0,West,
RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,Central,
CALLAGHAN,24,87,174,78,59,57,29,South West,
BROOKSIDE,18,72,54,54,38,52,34,South West,
IDYLWYLDE,151,147,129,54,21,19,14,South East,
EAUX CLAIRES,56,166,222,95,55,45,23,North East,
LYMBURN,141,346,418,227,136,115,41,West,
AMBLESIDE,67,196,284,168,124,164,71,South West,
EKOTA,53,107,108,35,24,29,8,South East,
RIVER VALLEY GLENORA,0,0,0,0,0,0,0,Central,
PAISLEY,4,11,31,28,16,18,2,South West,
LORELEI,166,352,274,89,52,41,10,North West,
WINDSOR PARK,13,17,46,39,39,33,22,Central,
TAMARACK,103,242,293,129,64,69,28,South East,
WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,South West,
PRINCE CHARLES,37,54,64,26,9,6,2,North West,
LAGO LINDO,53,147,236,115,77,87,25,North East,
TAWA,91,166,146,35,22,17,2,South East,
ELMWOOD PARK,72,79,53,20,10,8,2,Central,
MONTROSE,171,236,224,74,19,18,8,North East,
BRITANNIA YOUNGSTOWN,207,223,190,67,31,17,2,West,
MCNAMARA INDUSTRIAL,0,0,0,0,0,0,0,North West,
MAPLE RIDGE,67,174,76,22,9,6,0,South East,
RIVER VALLEY WINDERMERE,0,0,0,0,0,0,0,South West,
ANTHONY HENDAY SOUTH WEST,0,0,0,0,0,0,0,South West,
HAYS RIDGE AREA,1,0,2,1,5,7,9,South West,
PRINCE RUPERT,31,27,37,11,9,10,2,Central,
CPR IRVINE,10,3,19,9,5,9,0,Central,
RAMSAY HEIGHTS,69,198,239,118,86,105,72,South West,
GLENGARRY,200,149,128,59,21,26,6,North East,
RIVER VALLEY KINNAIRD,0,0,0,0,0,0,0,Central,
ROYAL GARDENS,121,199,224,68,31,38,19,South West,
ERMINESKIN,367,531,322,94,60,45,28,South West,
BEACON HEIGHTS,142,152,190,62,33,24,6,North East,
GIRARD INDUSTRIAL,0,0,0,0,0,0,0,South East,
HUDSON,21,98,163,63,32,31,4,North West,
HIGHLANDS,72,137,170,108,74,70,36,North East,
RIVER VALLEY CAMERON,0,0,0,0,0,0,0,South West,
